Region_Cat_NO;Age_Cat_1to3;Gender_1male;Degree_Cat_1to2;Experience_Cat_1to2;Crop_group_Cat_NO;How_often_do_you_use_Cat_1to3;Substitute_or_complement_1Complement;Productivity_improvment_Cat_1to3;Graphics_only;Evidence_required_Cat;Farm_scale_Cat;Speed_internet_Cat;Legislative_requirements_clients;Access_to_marketing_info_about_DSS_Cat;Followed_manufacturers_demo_Cat;clusters
South_EU;2;1;2.0;2.0;1.0;2.0;1.0;3.0;0.0;1.0;2.0;3.0;1.0;2.0;1.0;2
Central_EU;2;0;2.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;1.0;2.0;1.0;1.0;2.0;1
Central_EU;2;0;2.0;2.0;3.0;2.0;1.0;3.0;1.0;3.0;2.0;3.0;1.0;2.0;2.0;1
Central_EU;2;1;2.0;2.0;3.0;3.0;1.0;2.0;0.0;3.0;2.0;2.0;1.0;2.0;2.0;1
Central_EU;1;0;2.0;1.0;2.0;1.0;1.0;3.0;0.0;3.0;4.0;2.0;1.0;1.0;2.0;1
Central_EU;1;1;2.0;1.0;1.0;1.0;1.0;3.0;0.0;2.0;3.0;3.0;1.0;2.0;2.0;1
Central_EU;3;0;2.0;2.0;1.0;3.0;1.0;2.0;0.0;3.0;4.0;2.0;1.0;1.0;2.0;1
Central_EU;2;0;2.0;2.0;1.0;1.0;1.0;3.0;0.0;3.0;4.0;2.0;1.0;2.0;2.0;1
Central_EU;2;0;2.0;2.0;3.0;2.0;1.0;3.0;0.0;3.0;2.0;2.0;1.0;2.0;2.0;1
Central_EU;2;1;2.0;1.0;2.0;2.0;1.0;2.0;0.0;3.0;4.0;2.0;1.0;1.0;1.0;1
Central_EU;2;1;2.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;2.0;1.0;1.0;2.0;1
Central_EU;2;0;2.0;2.0;2.0;1.0;1.0;3.0;0.0;3.0;3.0;3.0;1.0;2.0;2.0;1
Central_EU;2;0;2.0;2.0;1.0;2.0;1.0;2.0;0.0;2.0;4.0;2.0;1.0;2.0;2.0;1
Central_EU;2;0;2.0;2.0;1.0;2.0;1.0;2.0;0.0;2.0;4.0;2.0;1.0;2.0;1.0;1
Central_EU;1;0;2.0;1.0;1.0;2.0;1.0;2.0;0.0;2.0;2.0;3.0;1.0;1.0;1.0;1
Central_EU;2;1;1.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;2.0;2.0;1.0;1.0;3.0;1
Central_EU;1;0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;4.0;2.0;1.0;1.0;1.0;1
Central_EU;1;0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;4.0;2.0;1.0;1.0;1.0;1
Central_EU;2;1;2.0;2.0;1.0;2.0;1.0;2.0;0.0;2.0;3.0;2.0;1.0;1.0;1.0;1
Central_EU;2;0;2.0;2.0;1.0;2.0;1.0;2.0;0.0;2.0;4.0;2.0;1.0;1.0;1.0;1
Central_EU;2;0;2.0;1.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;2.0;1.0;3.0;2.0;1
Central_EU;3;1;1.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;2.0;1.0;1
Central_EU;1;1;2.0;1.0;1.0;2.0;1.0;2.0;1.0;3.0;4.0;3.0;1.0;1.0;1.0;1
Central_EU;1;1;2.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1
Central_EU;2;1;2.0;2.0;1.0;1.0;1.0;2.0;0.0;3.0;2.0;3.0;1.0;3.0;3.0;1
Central_EU;3;1;2.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;2.0;1.0;1.0;2.0;1.0;1
Central_EU;2;1;1.0;2.0;1.0;2.0;1.0;2.0;1.0;3.0;4.0;2.0;1.0;2.0;2.0;-1
Central_EU;2;0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;3.0;2.0;1.0;1.0;2.0;2.0;-1
Central_EU;2;0;2.0;2.0;1.0;1.0;1.0;3.0;0.0;3.0;4.0;2.0;1.0;2.0;2.0;1
South_EU;2;1;2.0;2.0;1.0;3.0;0.0;3.0;0.0;2.0;2.0;2.0;1.0;1.0;2.0;2
South_EU;2;0;2.0;2.0;1.0;3.0;0.0;3.0;0.0;2.0;4.0;2.0;1.0;1.0;1.0;2
South_EU;2;1;2.0;2.0;2.0;3.0;0.0;1.0;0.0;2.0;2.0;3.0;1.0;2.0;1.0;0
South_EU;2;1;2.0;2.0;1.0;1.0;0.0;2.0;0.0;1.0;2.0;1.0;1.0;1.0;2.0;2
South_EU;2;1;2.0;2.0;1.0;3.0;0.0;3.0;1.0;3.0;2.0;2.0;1.0;2.0;1.0;2
North_EU;2;0;2.0;2.0;1.0;2.0;1.0;3.0;0.0;3.0;2.0;3.0;1.0;3.0;3.0;0
North_EU;1;0;2.0;1.0;1.0;2.0;1.0;3.0;1.0;2.0;2.0;3.0;1.0;1.0;2.0;0
North_EU;2;1;2.0;2.0;1.0;2.0;1.0;3.0;0.0;2.0;2.0;3.0;1.0;3.0;3.0;0
North_EU;2;0;2.0;1.0;1.0;1.0;1.0;3.0;1.0;3.0;2.0;3.0;1.0;3.0;2.0;0
North_EU;2;0;2.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;2.0;3.0;1.0;3.0;2.0;0
North_EU;2;0;2.0;1.0;1.0;2.0;1.0;3.0;1.0;2.0;4.0;3.0;1.0;3.0;2.0;0
North_EU;2;0;2.0;2.0;2.0;2.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;3.0;2.0;0
North_EU;3;0;2.0;2.0;3.0;3.0;1.0;3.0;0.0;3.0;4.0;2.0;1.0;3.0;2.0;0
North_EU;2;1;2.0;1.0;1.0;1.0;1.0;2.0;0.0;1.0;2.0;3.0;1.0;1.0;1.0;0
North_EU;2;0;2.0;2.0;1.0;1.0;1.0;3.0;1.0;1.0;2.0;3.0;0.0;1.0;2.0;0
North_EU;3;1;2.0;2.0;1.0;2.0;1.0;2.0;1.0;3.0;2.0;2.0;1.0;1.0;2.0;0
North_EU;3;1;1.0;2.0;1.0;2.0;1.0;3.0;0.0;3.0;2.0;3.0;1.0;2.0;2.0;-1
North_EU;1;1;2.0;1.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;1.0;2.0;0
North_EU;1;0;2.0;2.0;1.0;3.0;1.0;1.0;0.0;3.0;4.0;3.0;1.0;1.0;2.0;0
North_EU;2;1;2.0;2.0;1.0;3.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;2.0;3.0;0
North_EU;2;0;2.0;2.0;1.0;2.0;1.0;3.0;0.0;3.0;4.0;3.0;1.0;3.0;2.0;0
North_EU;1;0;2.0;1.0;1.0;2.0;1.0;3.0;0.0;2.0;2.0;3.0;1.0;3.0;2.0;0
North_EU;2;0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;3.0;2.0;3.0;1.0;2.0;1.0;0
North_EU;2;0;2.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;3.0;2.0;0
North_EU;3;0;2.0;2.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;1.0;1.0;0
North_EU;1;0;2.0;1.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;1.0;1.0;0
Central_EU;1;0;2.0;1.0;3.0;3.0;1.0;2.0;0.0;3.0;4.0;2.0;1.0;2.0;2.0;1
Central_EU;1;1;2.0;1.0;3.0;3.0;1.0;2.0;0.0;3.0;2.0;2.0;1.0;2.0;2.0;1
Central_EU;2;1;2.0;2.0;3.0;3.0;1.0;3.0;1.0;3.0;4.0;3.0;1.0;2.0;2.0;1
Central_EU;1;1;2.0;2.0;1.0;3.0;1.0;2.0;1.0;3.0;4.0;2.0;1.0;2.0;2.0;1
South_EU;2;1;2.0;2.0;3.0;2.0;1.0;3.0;0.0;1.0;3.0;3.0;1.0;1.0;2.0;0
South_EU;1;1;2.0;2.0;2.0;2.0;1.0;3.0;0.0;3.0;4.0;3.0;0.0;2.0;2.0;0
South_EU;1;1;2.0;1.0;1.0;2.0;1.0;2.0;0.0;3.0;4.0;3.0;1.0;1.0;2.0;2
South_EU;2;0;2.0;2.0;3.0;2.0;1.0;2.0;0.0;3.0;4.0;2.0;1.0;1.0;1.0;0
South_EU;2;1;2.0;2.0;3.0;2.0;1.0;2.0;0.0;3.0;4.0;2.0;1.0;1.0;1.0;0
South_EU;1;0;2.0;1.0;3.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;0
South_EU;2;1;2.0;2.0;3.0;3.0;1.0;3.0;0.0;2.0;2.0;3.0;1.0;2.0;1.0;0
South_EU;1;1;2.0;1.0;1.0;2.0;1.0;3.0;0.0;3.0;4.0;2.0;1.0;2.0;1.0;2
South_EU;2;1;2.0;2.0;3.0;2.0;1.0;3.0;0.0;1.0;2.0;3.0;1.0;2.0;2.0;0
South_EU;1;0;2.0;1.0;1.0;2.0;1.0;3.0;0.0;1.0;4.0;3.0;1.0;2.0;2.0;2
South_EU;2;1;2.0;2.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;3.0;2.0;2
South_EU;2;1;2.0;2.0;3.0;3.0;0.0;1.0;0.0;3.0;4.0;2.0;1.0;1.0;1.0;0
South_EU;2;0;2.0;2.0;2.0;2.0;1.0;3.0;0.0;3.0;1.0;2.0;1.0;2.0;2.0;0
South_EU;1;1;2.0;1.0;2.0;2.0;1.0;3.0;0.0;3.0;1.0;2.0;1.0;2.0;1.0;0
South_EU;1;0;2.0;1.0;1.0;2.0;1.0;3.0;0.0;3.0;1.0;2.0;1.0;1.0;2.0;2
South_EU;2;1;2.0;2.0;2.0;2.0;1.0;2.0;0.0;1.0;2.0;3.0;1.0;1.0;1.0;0
