,Age_Cat,Gender_1male,Degree_Cat,Farm_size_Cat,Income_Cat,Legislative_requirements,Already_used_DSS,DSS_are_more_suited_for_ShortTermDecision_1,DSS_are_more_suited_for_LongTermDecision_2,Trust_in_DSS_1to3,DSS_can_improve_your_productivity_Cat,Manufacturer_demo_of_DSS_Cat,Region_central_EU,Region_north_EU,Region_south_EU,clusters
73,4,1,2,5,5,1,1,1,0,2,4,2,1,0,0,2
74,3,1,1,5,4,1,1,1,1,2,4,2,1,0,0,2
75,4,1,3,5,2,1,1,1,0,2,3,1,1,0,0,2
77,3,1,2,5,5,1,0,1,1,2,4,2,1,0,0,2
78,4,1,2,5,5,1,0,0,1,2,3,1,1,0,0,2
79,2,1,2,5,3,0,0,0,1,1,3,1,1,0,0,2
81,2,1,2,5,5,1,1,1,0,1,3,2,1,0,0,2
82,3,1,2,3,5,1,1,0,1,2,4,2,0,1,0,1
84,4,1,2,3,5,1,1,1,0,1,3,2,0,1,0,1
85,4,1,2,3,5,1,1,1,1,2,3,3,0,1,0,1
86,4,1,3,3,3,1,1,1,0,2,3,2,0,0,1,0
88,4,1,3,3,3,1,1,1,0,1,3,2,0,0,1,0
89,4,0,4,3,2,1,1,1,0,2,3,2,0,0,1,0
90,3,1,4,3,1,1,1,1,0,2,3,2,0,0,1,0
92,3,1,2,5,1,0,1,1,0,1,2,1,1,0,0,2
93,2,1,2,5,1,0,1,1,0,2,3,1,1,0,0,2
95,4,0,1,5,5,1,1,1,0,2,3,1,1,0,0,2
96,3,0,3,5,4,1,1,1,0,2,3,2,1,0,0,2
97,3,0,3,5,4,1,0,1,0,1,2,1,1,0,0,2
98,4,1,2,5,3,1,1,0,1,2,4,3,1,0,0,2
99,4,0,3,5,3,1,1,0,1,1,3,2,1,0,0,2
100,4,0,3,5,2,1,1,1,0,2,3,1,1,0,0,2
101,5,0,5,5,5,1,1,1,0,2,3,2,1,0,0,2
102,3,0,3,5,3,1,1,1,0,1,4,2,1,0,0,2
103,4,0,4,5,5,1,1,1,0,1,3,2,1,0,0,2
104,4,1,2,5,5,1,1,1,0,2,3,1,1,0,0,2
105,1,1,2,5,1,0,1,1,0,2,1,1,0,1,0,1
106,2,1,4,5,3,1,0,0,1,3,3,3,0,1,0,1
107,4,1,4,5,5,1,1,1,1,2,4,2,0,1,0,1
108,4,1,3,5,5,1,0,0,1,1,3,2,0,1,0,1
109,2,1,3,5,5,1,0,1,0,1,2,2,0,1,0,1
110,1,1,3,4,2,1,1,1,0,1,3,1,0,1,0,1
111,1,1,3,3,1,1,0,0,1,2,3,2,0,1,0,1
112,3,0,5,4,2,1,1,0,1,2,3,2,0,1,0,1
113,1,0,1,4,3,1,1,1,1,1,4,1,0,1,0,1
114,2,1,4,5,5,1,1,0,1,2,4,1,0,1,0,1
115,3,1,3,5,5,1,0,1,0,2,3,2,0,1,0,1
116,3,1,3,5,5,1,1,1,0,2,3,2,0,1,0,1
117,2,0,4,5,2,1,1,0,1,1,3,2,0,1,0,1
118,3,1,4,5,4,1,1,0,1,1,4,1,0,1,0,1
119,3,1,4,5,5,1,1,0,1,1,3,3,0,1,0,1
120,4,1,4,4,2,1,1,1,0,1,3,1,0,1,0,1
121,3,1,3,5,3,1,1,1,0,2,3,2,0,1,0,1
122,3,1,3,5,4,1,1,1,0,2,4,2,0,1,0,1
123,3,1,3,4,2,1,1,1,0,2,4,2,1,0,0,2
124,5,1,3,5,3,1,1,1,0,3,4,2,1,0,0,2
126,4,1,2,5,2,1,1,1,0,2,3,2,1,0,0,2
127,3,1,2,3,2,0,1,0,1,1,2,1,0,0,1,0
128,1,1,2,1,1,0,1,0,1,2,3,2,0,0,1,0
131,2,1,2,3,2,0,1,0,1,3,4,2,0,0,1,0
135,3,1,2,3,3,0,1,1,0,1,2,1,0,0,1,0
137,1,1,1,5,4,0,1,0,1,2,4,2,0,0,1,0
148,2,1,3,5,2,1,1,1,1,1,4,1,0,0,1,0
